name,address,rating,latitude,longitude,close,open,district,store_chain
Siêu Thị Mẹ Bầu & Em Bé Con Cưng,"TTM Go! Thăng Long, 222 Đ. Trần Duy Hưng, Trung Hoà, Cầu Giấy, Hà Nội",1.0,21.0073921,105.7931198,9:30 PM,7:30 AM,Cầu Giấy,Other
Siêu thị mẹ bé Con Cưng Ba Đình,"933 Đ. La Thành, Láng Thượng, Ba Đình, Hà Nội",1.8,21.0269875,105.8095799,9:30 PM,8 AM,Ba Đình,Other
Cửa Hàng Quần Áo Mẹ Và Bé HaTo,"ngách 23 Ng. 168 Hào Nam, Chợ Dừa, Đống Đa, Hà Nội",5.0,21.0260001,105.8290279,11:59 PM,0:00 AM,Đống Đa,Mẹ và Bé
BiboMart Hồ Tùng Mậu,"298 Đường Hồ Tùng Mậu, Cầu Diễn, Nam Từ Liêm, Việt Nam, Từ Liêm, Hà Nội",3.7,21.0406746,105.765172,10 PM,7 AM,Nam Từ Liêm,Bibomart
Vườn Của Bé - 109 Xuân Đỉnh,"Xuân Đỉnh, Bac Tu Liem, Hanoi",5.0,21.0709474,105.8000222,10 PM,8 AM,Bắc Từ Liêm,Other
Chow Baby,"58 Đ. Xuân Thủy, Dịch Vọng Hậu, Cầu Giấy, Hà Nội",4.5,21.0366079,105.7879135,10 PM,9 AM,Cầu Giấy,Other
KidsPlaza 211 Trung Kính,"211 P. Trung Kính, Yên Hoà, Cầu Giấy, Hà Nội",4.4,21.0193902,105.7921987,10 PM,8 AM,Cầu Giấy,KidsPlaza
BiboMart Phạm Ngọc Thạch,"84 P.Phạm Ngọc Thạch, Quang Trung, Đống Đa, Hà Nội",3.1,21.0070525,105.8318932,10 PM,7 AM,Đống Đa,Bibomart
BiboMart Nguyễn Chánh,"Số 62 P. Nguyễn Chánh, Trung Hoà, Cầu Giấy, Hà Nội",2.5,21.0095431,105.7945047,10 PM,7 AM,Cầu Giấy,Bibomart
Shop mẹ và bé,"Tân Lập, Đan Phượng, Hanoi",5.0,21.074745,105.7032075,9:30 PM,7 AM,Đan Phượng,Mẹ và Bé
BubeKids - Mẹ Và Bé,"Vinhomes Ocean Park, Đa Tốn, Gia Lâm, Hà Nội 12400",5.0,20.9908885,105.9431146,11:59 PM,0:00 AM,Gia Lâm,Mẹ và Bé
TutiCare Mẹ & Bé,"33A, Hoàn Kiếm, Hà Nội",5.0,21.0202523,105.8544182,10:30 PM,10:30 AM,Hoàn Kiếm,Other
Mẹ & Bé Plaza,"37 Dốc viện Phụ Sản, Láng Thượng, Ba Đình, Hà Nội",5.0,21.0268097,105.808832,7 PM,7 AM,Ba Đình,Other
Boo Mart (cửa hàng mẹ và bé),"89 P. BàTriệu, Hà Trì, Hà Đông, Hà Nội",4.2,20.9667215,105.7826447,10 PM,8 AM,Hà Đông,Mẹ và Bé
KidsPlaza,"20 P. Thái Thịnh, Ngã Tư Sở, Đống Đa, Hà Nội",4.1,21.0061731,105.8222008,10 PM,8 AM,Đống Đa,KidsPlaza
Mai Hương Baby Shop,"19 ngõ 89 P. Thái Hà, Trung Liệt, Đống Đa, Hà Nội",4.1,21.0119633,105.8205015,10 PM,8 AM,Đống Đa,Other
shop Mẹ và Bé,"19 Ng. 213 P. Giáp Nhất, Nhân Chính, Thanh Xuân, Hà Nội",4.1,21.0061609,105.8148805,11:59 PM,0:00 AM,Thanh Xuân,Mẹ và Bé
Shop babyborn.vn - Đồ cho mẹ và bé,"29 ngách 6/6 Đội Nhân, Vĩnh Phú, Ba Đình, Hà Nội",3.8,21.0419948,105.8107436,10 PM,8 AM,Ba Đình,Mẹ và Bé
Siêu Thị Mẹ - Bé,"2WP6+654, TT. Sài Đồng, Long Biên, Hà Nội",5.0,21.0355229,105.9104538,10 PM,8 AM,Long Biên,Other
Hò Siu - Siêu thị Mẹ và Bé,"228 Đ. Khương Đình, Hạ Đình, Thanh Xuân, Hà Nội",5.0,20.9926952,105.8136605,10 PM,8 AM,Thanh Xuân,Mẹ và Bé
KidsPlaza Hoang Van Thai,"61 P. Hoàng Văn Thái, Khương Mai, Thanh Xuân, Hà Nội",2.5,20.9965268,105.8284908,10 PM,8 AM,Thanh Xuân,KidsPlaza
Siêu Thị Mẹ Bầu & Em Bé Con Cưng,"147K P. Đội Cấn, Đội Cấn, Ba Đình, Hà Nội",2.0,21.0350008,105.8249627,10 PM,8 AM,Ba Đình,Other
KidsPlaza 27 Trần Duy Hưng,"27 Đ. Trần Duy Hưng, Trung Hoà, Cầu Giấy, Hà Nội",3.9,21.0132018,105.8028691,10 PM,8 AM,Cầu Giấy,KidsPlaza
KidsPlaza Nguyễn Cơ Thạch,"C2-1 P. Nguyễn Cơ Thạch, KĐT Mỹ Đình I, Nam Từ Liêm, Hà Nội",4.0,21.0321922,105.7648389,10 PM,8 AM,Nam Từ Liêm,KidsPlaza
KidsPlaza 182B Lạc Trung,"182 P. Lạc Trung, Thanh Lương, Hai Bà Trưng, Hà Nội",3.9,21.0030822,105.8658739,10 PM,8 AM,Hai Bà Trưng,KidsPlaza
Shop Mẹ và Bé,"Thôn, Đồng Bụt, Quốc Oai, Hà Nội",5.0,20.9953213,105.6107104,11:59 PM,0:00 AM,Quốc Oai,Mẹ và Bé
KidsPlaza 52 Vũ Trọng Phụng,"52 Đ. Vũ Trọng Phụng, Thanh Xuân Trung, Thanh Xuân, Hà Nội",4.6,20.9980478,105.8093403,10 PM,8 AM,Thanh Xuân,KidsPlaza
KidsPlaza 104A Tôn Thất Tùng,"104A P. Tôn Thất Tùng, Kim Liên, Đống Đa, Hà Nội",4.1,21.006051,105.8308676,9:30 PM,8 AM,Đống Đa,KidsPlaza
Baby Fun Shop,"112 Kim Ngưu, Quận Hai Bà Trưng, TP. Hà Nội, P. Kim Ngưu, Thanh Nhàn, Hai Bà Trưng, Hà Nội",3.7,21.0070633,105.8612385,9:30 PM,8 AM,Hai Bà Trưng,Other
Cửa Hàng Quần Áo Mẹ Và Bé HaTo,"21 Ng. 168 Hào Nam, Chợ Dừa, Đống Đa, Hà Nội",4.3,21.0261342,105.828754,11:59 PM,0:00 AM,Đống Đa,Mẹ và Bé
KidsPlaza Xã Đàn,"374 P. Xã Đàn, Nam Đồng, Đống Đa, Hà Nội",3.5,21.0148121,105.8339473,10 PM,8 AM,Đống Đa,KidsPlaza
KidsPlaza 43 Lạc Trung,"43 P. Lạc Trung, Vĩnh Tuy, Hai Bà Trưng, Hà Nội",4.3,21.0030771,105.8657197,9:30 PM,8 AM,Hai Bà Trưng,KidsPlaza
KidsPlaza Nguyễn Xiển,"Số 22 Đ. Nguyễn Xiển, Thanh Xuân Nam, Thanh Xuân, Hà Nội",4.3,20.9907718,105.8032483,10 PM,8 AM,Thanh Xuân,KidsPlaza
Sukem Shop- Chuyên đồ sơ sinh mẹ và bé,"6 Ng. 31 P. Lương Khánh Thiện, Tương Mai, Hai Bà Trưng, Hà Nội",4.0,20.9861384,105.8512066,11:59 PM,0:00 AM,Hai Bà Trưng,Mẹ và Bé
KidsPlaza - 18 Xuân Đỉnh,"18, Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",3.3,21.0696989,105.8020069,10 PM,8 AM,Bắc Từ Liêm,KidsPlaza
BiboMart,"570 Đ. Trương Định, Giáp Bát, Hoàng Mai, Hà Nội",4.1,20.9835143,105.8456552,10 PM,7 AM,Hoàng Mai,Bibomart
BiboMart Nguyễn Văn Cừ,"76 Đ. Ngô Gia Tự, P, Long Biên, Hà Nội",4.2,21.0592471,105.8921943,10 PM,7 AM,Long Biên,Bibomart
KidsPlaza HH4B Linh Đàm,"HH4B Linh Đàm, P. Linh Đ., Hoàng Liệt, Hoàng Mai, Hà Nội",3.8,20.9632592,105.8263203,10 PM,8 AM,Hoàng Mai,KidsPlaza
"Betiti Shop - Chuyên đồ sơ sinh, Trọn bộ sơ sinh giá gốc","ngõ 87 Đ. Nguyễn Phong Sắc, Dịch Vọng Hậu, Cầu Giấy, Hà Nội",4.3,21.0389013,105.7889348,9:30 PM,8:30 AM,Cầu Giấy,Other
KidsPlaza 66 Nguyễn Khuyến - Hà Đông,"66 Nguyễn Khuyến, P. Văn Quán, Hà Đông, Hà Nội",4.1,20.9769707,105.7881272,10 PM,8 AM,Hà Đông,KidsPlaza
KidsPlaza 226 Khương Đình,"226 Đ. Khương Đình, Hạ Đình, Thanh Xuân, Hà Nội",2.6,20.9926867,105.8136597,10 PM,8 AM,Thanh Xuân,KidsPlaza
KidsPlaza Vương Thừa Vũ,"21 P. Vương Thừa Vũ, Khương Thượng, Thanh Xuân, Hà Nội",4.0,21.0007067,105.8223934,10 PM,8 AM,Thanh Xuân,KidsPlaza
KidsPlaza 77B Xuân La,"77B, Tây Hồ, Hà Nội",1.0,21.0630859,105.8071183,10 PM,8 AM,Tây Hồ,KidsPlaza
KidsPlaza 78 Nguyễn An Ninh,"78 P. Nguyễn An Ninh, Tương Mai, Hoàng Mai, Hà Nội",1.0,20.9900464,105.8454015,10 PM,8 AM,Hoàng Mai,KidsPlaza
Shop Quần Áo Cho Bé,"Số 28 Ngõ 85, Nguyễn Lướng Bằng, Quang Trung, Đống Đa, Hà Nội",4.7,21.0157159,105.828119,8:30 PM,8:30 AM,Đống Đa,Other
Shop Mẹ & Bé G.Lady,"19 Đ. Thụy Khuê, Thuỵ Khuê, Tây Hồ, Hà Nội",4.7,21.0412886,105.8289995,10 PM,8 AM,Tây Hồ,Other
KidsPlaza Khu đô thị Thanh Hà - Kiến Hưng - Hà Đông - Hà Nội,"Kiot 4 - 6 tầng, 1 Tòa HH03A, Khu Đô Thị Thanh, Hà Đông, Hà Nội",5.0,20.9360445,105.7860133,10 PM,8 AM,Hà Đông,KidsPlaza
KidsPlaza Xa La,"65 - 67 Đường 70, Khu đô thị Xa La, Hà Đông, Hà Nội",4.2,20.9645645,105.7937202,10 PM,8 AM,Hà Đông,KidsPlaza
Siêu thị Mẹ và Bé,"3XC2+G6 Ninh Hiệp, Gia Lâm, Hà Nội, 12400",4.2,21.0713657,105.9505606,10 PM,8 AM,Gia Lâm,Mẹ và Bé
Thế giới bỉm sữa 247,"37 dốc viện phụ sản Hà Nội, 37 Dốc viện Phụ Sản, Láng Thượng, Ba Đình, Hà Nội",5.0,21.0267469,105.8088377,10 PM,7 AM,Ba Đình,Other
KidsPlaza,"458 P. Minh Khai, Vĩnh Phú, Hai Bà Trưng, Hà Nội",3.7,20.9939747,105.8691263,10 PM,8 AM,Hai Bà Trưng,KidsPlaza
BiboMart,"Tòa Golden Field, 24 P. Nguyễn Cơ Thạch, Mỹ Đình, Nam Từ Liêm, Hà Nội",3.2,21.0348257,105.765615,10 PM,7 AM,Nam Từ Liêm,Bibomart
BiboMart Trần Thái Tông,"90 P.Trần Thái Tông, Dịch Vọng Hậu, Cầu Giấy, Hà Nội 700000",3.7,21.0308664,105.7875986,10 PM,7 AM,Cầu Giấy,Bibomart
BiboMart,"120 Đ. Trần Duy Hưng, Trung Hoà, Cầu Giấy, Hà Nội",4.2,21.0108096,105.7994776,8 PM,8 AM,Cầu Giấy,Bibomart
BiboMart Nguyễn Hoàng,"38 P. Nguyễn Hoàng, Mỹ Đình, Nam Từ Liêm, Hà Nội",3.6,21.0313599,105.7745791,10 PM,7 AM,Nam Từ Liêm,Bibomart
BiboMart Trung Kính,"193 P. Trung Kính, Yên Hoà, Cầu Giấy, Hà Nội",2.8,21.0181316,105.792795,10 PM,8 AM,Cầu Giấy,Bibomart
BiboMart Nguyễn Khánh Toàn,"60 Đ. Nguyễn Khánh Toàn, Quan Hoa, Cầu Giấy, Hà Nội",3.6,21.0365772,105.8028335,10 PM,7 AM,Cầu Giấy,Bibomart
BiboMart Đường Bưởi,"19 Đ. Bưởi, Vĩnh Phú, Ba Đình, Hà Nội",3.2,21.0470303,105.8064398,10 PM,7 AM,Ba Đình,Bibomart
BiboMart Nguyễn Trãi 3,"296 Đ. Nguyễn Trãi, Thượng Đình, Thanh Xuân, Hà Nội",1.0,20.9970401,105.8107099,10 PM,7 AM,Thanh Xuân,Bibomart
BiboMart Trần Đăng Ninh,"Tòa B3, P. Vĩnh Hồ, Làng Quốc tế Thăng Long, Cầu Giấy, Hà Nội",2.0,21.0395839,105.7917873,10 PM,7:30 AM,Cầu Giấy,Bibomart
BiboMart Xuân La,"36 Đ. Xuân La, Xuân La, Tây Hồ, Hà Nội",1.4,21.0669367,105.8046156,10 PM,7:30 AM,Tây Hồ,Bibomart
BiboMart Phạm Văn Đồng 3,"122 Đ. Phạm Văn Đồng, Mai Dịch, Cầu Giấy, Hà Nội",1.4,21.0435389,105.7807169,10 PM,7 AM,Cầu Giấy,Bibomart
BiboMart,"43 P. Lạc Trung, Vĩnh Tuy, Hai Bà Trưng, Hà Nội",4.0,21.0028577,105.8661672,10 PM,8 AM,Hai Bà Trưng,Bibomart
BiboMart Vũ Trọng Phụng,"114 Đ. Vũ Trọng Phụng, Thanh Xuân Trung, Thanh Xuân, Hà Nội",1.0,21.0010905,105.8071536,10 PM,7 AM,Thanh Xuân,Bibomart
BiboMart,"Handico Tower, Tầng 10, Đ. Phạm Hùng, Mễ Trì Hạ, Thượng, Hà Nội",1.5,21.016656,105.7821336,11:59 PM,0:00 AM,Nam Từ Liêm,Bibomart
BiboMart Bạch Mai,"290 P. Bạch Mai, Bạch Mai, Hai Bà Trưng, Hà Nội",3.2,21.0021603,105.8507021,10 PM,7 AM,Hai Bà Trưng,Bibomart
BiboMart Hoàng Văn Thái,"Số 52 P. Hoàng Văn Thái, Khương Mai, Thanh Xuân, Hà Nội",3.5,20.9963425,105.8277554,10 PM,7 AM,Thanh Xuân,Bibomart
BiboMart Quang Trung 2,"388 Đ. Quang Trung, La Khê, Hà Nội,",3.8,20.9629812,105.7653984,10 PM,7 AM,Bắc Từ Liêm,Bibomart
BiboMart Green Star,"Tòa 27A2, 232 Đ. Phạm Văn Đồng, Khu chung cư Green Stars, Bắc Từ Liêm, Hà Nội",3.1,21.0522942,105.7807432,10 PM,7 AM,Bắc Từ Liêm,Bibomart
BiboMart 230 Lê Trọng Tấn,"230 P. Lê Trọng Tấn, Định Công, Thanh Xuân, Hà Nội",3.5,20.991625,105.8327663,10 PM,7 AM,Thanh Xuân,Bibomart
BiboMart Phạm Văn Đồng,"481 Đ. Phạm Văn Đồng, Cổ Nhuế, Bắc Từ Liêm, Hà Nội",3.5,21.0584003,105.7830298,10 PM,8 AM,Bắc Từ Liêm,Bibomart
BiboMart Long Bien,"12 P. Nguyễn Sơn, P, Long Biên, Hà Nội",3.8,21.0481025,105.8749064,10 PM,7 AM,Long Biên,Bibomart
BiboMart Nguyễn Hữu Thọ,"8 Nguyễn Hữu Thọ, Đại Kim, Hoàng Mai, Hà Nội",3.4,20.9696142,105.8296244,10 PM,7 AM,Hoàng Mai,Bibomart
BiboMart Mình Khai,"444 P. Minh Khai, Vĩnh Tuy, Hai Bà Trưng, Hà Nội",1.8,20.9969654,105.8648634,10 PM,7:30 AM,Hai Bà Trưng,Bibomart
BiboMart Văn Quán,"98 Nguyễn Khuyến, P. Văn Quán, Hà Đông, Hà Nội",4.3,20.9762779,105.7886514,10 PM,7 AM,Hà Đông,Bibomart
BiboMart Nguyễn Văn Lộc,"23 LK6A Mỗ Lao Phường, Hà Đông, Hà Nội",2.0,20.9864966,105.7878032,10 PM,7 AM,Hà Đông,Bibomart
BiboMart Phan Trọng Tuệ 2,"282 Đ. Phan Trọng Tuệ, Thanh Liệt, Thanh Trì, Hà Nội",2.7,20.9567492,105.808917,10 PM,7 AM,Thanh Trì,Bibomart
BiboMart Xuân La 1,"12B Đ. Xuân La, Xuân La, Tây Hồ, Hà Nội",1.0,21.0611697,105.8073013,10 PM,7 AM,Tây Hồ,Bibomart
